CERTIFICATION_ID,EMPLOYEE_ID,CERTIFICATION_NAME,ISSUING_ORGANIZATION,CERTIFICATION_CATEGORY,CERTIFICATION_DATE,EXPIRY_DATE,CERTIFICATION_STATUS,CREDENTIAL_ID,VERIFICATION_URL,COST_COVERED_BY,CREATED_AT
7,1310,AWS Cloud Practitioner,Amazon,Cloud Platform,2025-09-21,2027-10-01,Active,CRED-254201,https://verify.example.com/724955,Self,2026-03-20 06:59:35.765
578,1042,Scrum Master CSM,Scrum Alliance,Agile,2024-11-06,2026-03-22,Active,CRED-879326,https://verify.example.com/562769,Company,2026-03-20 06:59:35.765
492,1230,Fivetran Partner Certification,Fivetran,Data Integration,2024-01-30,2026-10-18,Expired,CRED-949475,https://verify.example.com/437420,Company,2026-03-20 06:59:35.765
191,1223,SnowPro Core,Snowflake,Cloud Data Platform,2026-01-02,2026-10-13,Expired,CRED-482235,https://verify.example.com/341096,Company,2026-03-20 06:59:35.765
87,1109,Databricks Certified Data Engineer,Databricks,Data Platform,2024-10-09,2028-01-12,Expired,CRED-139267,https://verify.example.com/495305,Company,2026-03-20 06:59:35.765
428,1319,AWS Cloud Practitioner,Amazon,Cloud Platform,2024-05-04,2027-05-31,In Progress,CRED-117160,https://verify.example.com/232146,Partial Reimbursement,2026-03-20 06:59:35.765
534,1143,SnowPro Advanced Data Analyst,Snowflake,Cloud Data Platform,2026-02-15,2026-07-18,Expired,CRED-298926,https://verify.example.com/858979,Partial Reimbursement,2026-03-20 06:59:35.765
436,1301,SnowPro Core,Snowflake,Cloud Data Platform,2025-11-28,2026-02-13,Renewal Due,CRED-593066,https://verify.example.com/218586,Partial Reimbursement,2026-03-20 06:59:35.765
321,1472,SnowPro Advanced Architect,Snowflake,Cloud Data Platform,2023-12-29,2027-08-19,Expired,CRED-645292,https://verify.example.com/392651,Self,2026-03-20 06:59:35.765
206,1195,Azure Data Engineer Associate,Microsoft,Cloud Platform,2025-03-20,2027-05-23,In Progress,CRED-342542,https://verify.example.com/182375,Company,2026-03-20 06:59:35.765
376,1258,dbt Analytics Engineering,dbt Labs,Data Transformation,2026-01-25,2026-12-30,Active,CRED-293344,https://verify.example.com/998760,Self,2026-03-20 06:59:35.765
164,1435,Databricks Certified ML Professional,Databricks,Data Platform,2025-10-12,2026-07-31,Expired,CRED-981841,https://verify.example.com/378505,Partial Reimbursement,2026-03-20 06:59:35.765
635,1164,Azure Solutions Architect Expert,Microsoft,Cloud Platform,2025-03-11,2026-03-06,Expired,CRED-819539,https://verify.example.com/690232,Self,2026-03-20 06:59:35.765
324,1017,Azure Data Engineer Associate,Microsoft,Cloud Platform,2024-08-25,2026-02-13,In Progress,CRED-199858,https://verify.example.com/371591,Partial Reimbursement,2026-03-20 06:59:35.765
126,1054,Scrum Master CSM,Scrum Alliance,Agile,2025-06-21,2027-01-10,Renewal Due,CRED-775385,https://verify.example.com/669259,Company,2026-03-20 06:59:35.765
160,1273,SnowPro Core,Snowflake,Cloud Data Platform,2025-09-18,2026-04-30,In Progress,CRED-985849,https://verify.example.com/136024,Self,2026-03-20 06:59:35.765
343,1038,GCP Cloud Architect,Google,Cloud Platform,2024-08-13,2026-03-24,Expired,CRED-379301,https://verify.example.com/762410,Self,2026-03-20 06:59:35.765
