SKILL_ID,EMPLOYEE_ID,SKILL_NAME,SKILL_CATEGORY,PROFICIENCY_LEVEL,YEARS_OF_EXPERIENCE,IS_PRIMARY_SKILL,LAST_USED_DATE,SELF_RATING,VERIFIED_BY_MANAGER,CREATED_AT
587,1485,Git,Version Control,Intermediate,10.8,false,2025-04-10,2.1,true,2026-03-20 06:58:39.498
10,1332,NLP,AI/ML,Expert,12.5,true,2026-02-08,2.7,true,2026-03-20 06:58:39.498
1304,1416,SQL,Database,Intermediate,0.8,false,2025-06-21,3.3,false,2026-03-20 06:58:39.498
1140,1286,MongoDB,NoSQL,Intermediate,2.1,false,2025-11-16,4.3,true,2026-03-20 06:58:39.498
1130,1458,JavaScript,Programming,Expert,12.6,false,2025-11-11,4.1,true,2026-03-20 06:58:39.498
11118,1517,Airflow,Orchestration,Advanced,5.5,false,2026-03-08,4.3,true,2026-03-21 04:04:54.479
1270,1331,Linux,Operating System,Expert,13.0,true,2025-04-13,5.0,false,2026-03-20 06:58:39.498
384,1034,Python,Programming,Expert,9.5,false,2025-06-19,3.7,false,2026-03-20 06:58:39.498
1261,1414,SSIS,ETL,Beginner,13.0,true,2025-08-07,2.7,false,2026-03-20 06:58:39.498
11104,1513,dbt,ETL,Advanced,4.0,false,2026-02-28,4.3,true,2026-03-21 04:04:54.479
1580,1469,PostgreSQL,Database,Advanced,8.4,true,2025-08-04,3.8,true,2026-03-20 06:58:39.498
1998,1467,NLP,AI/ML,Expert,14.0,true,2026-02-26,3.4,true,2026-03-20 06:58:39.498
1430,1049,SSIS,ETL,Beginner,4.9,false,2025-05-22,3.5,false,2026-03-20 06:58:39.498
1268,1375,SQL,Database,Advanced,6.5,false,2025-12-08,4.9,false,2026-03-20 06:58:39.498
1602,1336,Java,Programming,Expert,9.1,true,2025-04-24,3.6,false,2026-03-20 06:58:39.498
1499,1482,Talend,ETL,Expert,7.2,true,2025-09-21,2.4,true,2026-03-20 06:58:39.498
130,1205,MongoDB,NoSQL,Advanced,8.3,false,2025-05-14,3.4,false,2026-03-20 06:58:39.498
125,1121,Python,Programming,Advanced,10.0,true,2025-11-09,4.7,true,2026-03-20 06:58:39.498
1319,1106,Python,Programming,Advanced,13.5,false,2025-09-18,4.2,false,2026-03-20 06:58:39.498
1897,1436,Informatica,ETL,Expert,1.7,false,2025-07-05,3.5,true,2026-03-20 06:58:39.498
1973,1457,Azure,Cloud Platform,Advanced,8.8,false,2025-07-19,3.6,false,2026-03-20 06:58:39.498
1954,1345,PostgreSQL,Database,Intermediate,2.3,true,2026-02-25,2.1,true,2026-03-20 06:58:39.498
397,1212,Terraform,Infrastructure as Code,Intermediate,8.1,false,2025-11-30,4.4,false,2026-03-20 06:58:39.498
499,1147,SSIS,ETL,Expert,2.5,true,2025-10-23,3.2,false,2026-03-20 06:58:39.498
576,1198,MongoDB,NoSQL,Expert,4.7,true,2025-11-23,4.5,true,2026-03-20 06:58:39.498
1985,1074,Linux,Operating System,Expert,5.7,false,2025-11-08,4.0,true,2026-03-20 06:58:39.498
1831,1175,JavaScript,Programming,Advanced,8.8,true,2025-07-22,2.4,false,2026-03-20 06:58:39.498
11140,1522,NLP,AI/ML,Expert,12.0,true,2026-03-18,5.0,true,2026-03-21 04:04:54.479
1172,1069,Docker,Containerization,Beginner,9.4,false,2025-04-08,3.4,false,2026-03-20 06:58:39.498
527,1400,NLP,AI/ML,Advanced,12.9,false,2025-10-27,4.9,false,2026-03-20 06:58:39.498
1257,1277,PostgreSQL,Database,Beginner,14.6,false,2025-10-02,2.9,true,2026-03-20 06:58:39.498
498,1172,Kubernetes,Container Orchestration,Beginner,7.6,true,2025-07-27,3.0,false,2026-03-20 06:58:39.498
11120,1517,Docker,DevOps,Advanced,4.0,false,2026-02-25,4.0,true,2026-03-21 04:04:54.479
1252,1136,R,Programming,Expert,4.9,false,2026-02-27,4.1,true,2026-03-20 06:58:39.498
1829,1105,Databricks,Data Platform,Intermediate,7.6,false,2025-11-03,4.5,false,2026-03-20 06:58:39.498
546,1228,Kafka,Streaming,Advanced,7.7,false,2025-08-26,2.3,true,2026-03-20 06:58:39.498
1771,1204,Kafka,Streaming,Beginner,11.2,false,2025-07-20,4.4,true,2026-03-20 06:58:39.498
1564,1377,Kubernetes,Container Orchestration,Beginner,7.0,false,2025-09-27,2.9,false,2026-03-20 06:58:39.498
152,1108,R,Programming,Expert,12.4,false,2025-09-24,4.9,true,2026-03-20 06:58:39.498
1271,1240,Tableau,Visualization,Intermediate,10.3,true,2026-02-07,4.9,true,2026-03-20 06:58:39.498
1426,1049,Matillion,ETL,Expert,7.4,false,2025-05-24,3.2,true,2026-03-20 06:58:39.498
479,1225,JavaScript,Programming,Intermediate,11.7,true,2026-02-07,2.0,true,2026-03-20 06:58:39.498
398,1212,PostgreSQL,Database,Advanced,12.7,false,2025-04-18,4.3,true,2026-03-20 06:58:39.498
2016,1159,Terraform,Infrastructure as Code,Expert,6.2,false,2025-06-07,2.4,true,2026-03-20 06:58:39.498
11121,1518,Tableau,Visualization,Expert,9.0,true,2026-03-14,4.8,true,2026-03-21 04:04:54.479
279,1048,Talend,ETL,Beginner,2.9,false,2026-02-08,3.9,false,2026-03-20 06:58:39.498
372,1005,BigQuery,Cloud Data Platform,Expert,0.5,false,2026-02-26,2.8,true,2026-03-20 06:58:39.498
179,1234,Tableau,Visualization,Intermediate,7.4,false,2025-07-08,4.4,false,2026-03-20 06:58:39.498
1231,1035,Kafka,Streaming,Intermediate,14.8,false,2025-11-27,2.7,true,2026-03-20 06:58:39.498
348,1287,CI/CD,DevOps,Intermediate,10.2,true,2026-02-28,3.2,false,2026-03-20 06:58:39.498
1720,1168,dbt,Data Transformation,Expert,3.2,true,2025-12-03,4.5,false,2026-03-20 06:58:39.498
