MARGIN_ID,EMPLOYEE_ID,PROJECT_NAME,CLIENT_NAME,BILLING_START_DATE,BILLING_END_DATE,BILLING_RATE_PER_HOUR,COST_RATE_PER_HOUR,MARGIN_AMOUNT_PER_HOUR,MARGIN_PERCENTAGE,MONTHLY_BILLED_HOURS,MONTHLY_REVENUE,MONTHLY_COST,MONTHLY_MARGIN,BILLING_TYPE,CURRENCY,ENGAGEMENT_TYPE,IS_ACTIVE,CREATED_AT
1,1001,Security Audit,AutoDrive Inc,2025-06-13,2026-04-26,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Consulting,false,2026-03-20 07:01:48.136
2,1001,Data Governance Setup,FoodChain Co,2025-10-29,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Consulting,true,2026-03-20 07:01:48.136
3,1001,ETL Modernization,TravelEase,2025-12-02,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Managed Services,false,2026-03-20 07:01:48.136
4,1009,Platform Upgrade,EnergyOne,2025-11-01,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
5,1017,ML Pipeline,RetailMax,2025-11-26,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,true,2026-03-20 07:01:48.136
6,1033,Reporting Automation,Acme Corp,2025-11-10,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
7,1041,Data Warehouse Redesign,TechNova Inc,2025-11-09,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Staff Augmentation,false,2026-03-20 07:01:48.136
8,1057,ETL Modernization,BankRight,2026-01-25,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Consulting,true,2026-03-20 07:01:48.136
9,1065,Security Audit,EduSpark,2026-01-17,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Project Based,true,2026-03-20 07:01:48.136
10,1073,Security Audit,HealthTech Solutions,2025-08-12,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Managed Services,false,2026-03-20 07:01:48.136
11,1081,Data Governance Setup,Acme Corp,2025-04-12,2026-04-30,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,false,2026-03-20 07:01:48.136
12,1081,Cloud Migration,AutoDrive Inc,2025-06-28,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Support & Maintenance,false,2026-03-20 07:01:48.136
13,1097,POC Development,TechNova Inc,2026-02-10,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
14,1105,Reporting Automation,FinServ Global,2025-06-08,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
15,1113,API Integration,EduSpark,2025-05-22,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,true,2026-03-20 07:01:48.136
16,1145,Platform Upgrade,AutoDrive Inc,2025-10-29,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
17,1145,Data Lake Build,EduSpark,2025-07-26,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,false,2026-03-20 07:01:48.136
18,1153,API Integration,TechNova Inc,2026-02-17,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Fixed Price,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
19,1153,Data Governance Setup,FoodChain Co,2025-09-20,2026-08-17,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
20,1161,Data Governance Setup,RetailMax,2025-07-23,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Project Based,true,2026-03-20 07:01:48.136
21,1161,Data Warehouse Redesign,TechNova Inc,2025-06-16,2026-07-29,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Managed Services,true,2026-03-20 07:01:48.136
101,1169,ETL Modernization,HealthTech Solutions,2025-07-04,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
102,1185,Data Warehouse Redesign,HealthTech Solutions,2025-06-04,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
103,1193,ETL Modernization,InsurePro,2025-04-04,2026-05-10,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Staff Augmentation,false,2026-03-20 07:01:48.136
104,1241,ETL Modernization,InsurePro,2025-10-19,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Managed Services,false,2026-03-20 07:01:48.136
105,1241,ML Pipeline,FoodChain Co,2025-11-02,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Support & Maintenance,true,2026-03-20 07:01:48.136
106,1257,Reporting Automation,AutoDrive Inc,2025-06-20,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Time & Material,USD,Consulting,true,2026-03-20 07:01:48.136
107,1257,Cost Optimization,DataFirst LLC,2026-02-06,2026-07-30,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Retainer,USD,Managed Services,true,2026-03-20 07:01:48.136
108,1257,ETL Modernization,RetailMax,2025-08-15,,102.00,32.00,70.00,68.63,106.0,10812.00,3392.00,7420.00,Milestone Based,USD,Staff Augmentation,true,2026-03-20 07:01:48.136
