"GET_DDL('TABLE', 'MARGIN_DATA')"
"create or replace TABLE MARGIN_DATA (
	MARGIN_ID NUMBER(38,0) NOT NULL autoincrement start 1 increment 1 noorder,
	EMPLOYEE_ID NUMBER(38,0),
	PROJECT_NAME VARCHAR(200),
	CLIENT_NAME VARCHAR(200),
	BILLING_START_DATE DATE,
	BILLING_END_DATE DATE,
	BILLING_RATE_PER_HOUR NUMBER(10,2),
	COST_RATE_PER_HOUR NUMBER(10,2),
	MARGIN_AMOUNT_PER_HOUR NUMBER(10,2),
	MARGIN_PERCENTAGE NUMBER(5,2),
	MONTHLY_BILLED_HOURS NUMBER(6,1),
	MONTHLY_REVENUE NUMBER(12,2),
	MONTHLY_COST NUMBER(12,2),
	MONTHLY_MARGIN NUMBER(12,2),
	BILLING_TYPE VARCHAR(50),
	CURRENCY VARCHAR(10),
	ENGAGEMENT_TYPE VARCHAR(50),
	IS_ACTIVE BOOLEAN,
	CREATED_AT TIMESTAMP_NTZ(9) DEFAULT CURRENT_TIMESTAMP(),
	primary key (MARGIN_ID),
	foreign key (EMPLOYEE_ID) references KIPI_RM_DB.RM_SCHEMA.EMPLOYEES(EMPLOYEE_ID)
);"
